trial,line_length,stim_radius,stim_period,rating
0,150,250,25,73
1,30,200,100,13
2,30,150,200,28
3,30,300,25,81
4,150,350,100,1
5,30,150,100,87
6,30,250,100,0
7,120,150,25,12
8,150,150,150,35
9,120,150,50,100
10,60,150,100,57
11,150,350,200,1
12,30,250,25,2
13,30,200,25,98
14,150,150,100,1
15,90,200,150,1
16,30,300,200,4
17,90,300,50,84
18,60,300,100,14
19,30,200,150,23
20,150,200,100,17
21,30,350,25,83
22,120,200,150,2
23,150,150,50,89
24,90,300,25,52
25,120,300,50,34
26,150,350,25,28
27,150,250,100,43
28,120,150,150,19
29,60,200,200,7
30,120,150,100,50
31,60,300,50,77
32,120,200,50,75
33,150,300,150,21
34,30,150,150,47
35,30,250,50,59
36,90,150,100,53
37,90,300,150,2
38,90,150,200,4
39,60,350,200,5
40,150,200,150,22
41,150,300,200,22
42,60,250,25,100
43,30,300,150,4
44,60,250,100,12
45,120,300,200,22
46,90,200,200,4
47,120,350,25,79
48,90,350,150,7
49,60,150,25,100
50,150,300,50,14
51,90,300,200,5
52,90,150,150,2
53,150,300,25,100
54,150,350,150,4
55,60,200,25,3
56,120,350,200,7
57,150,200,25,84
58,120,350,150,11
59,60,300,150,17
60,120,250,150,11
61,90,200,100,33
62,30,300,50,77
63,30,150,25,84
64,120,350,50,11
65,90,250,200,14
66,60,350,25,85
67,120,200,100,16
68,90,300,100,24
69,30,150,50,59
70,90,150,50,85
71,60,350,100,66
72,60,150,50,96
73,30,200,200,16
74,120,150,200,21
75,60,200,50,84
76,120,200,200,21
77,150,250,200,27
78,120,350,100,30
79,90,150,25,85
80,90,250,100,25
81,90,250,50,18
82,90,350,50,9
83,120,300,25,88
84,60,300,25,96
85,30,200,50,45
86,90,250,25,87
87,30,250,150,7
88,30,350,150,18
89,60,200,150,23
90,60,350,50,83
91,150,350,50,79
92,60,350,150,15
93,120,300,150,13
94,90,350,100,18
95,30,350,100,8
96,120,250,100,18
97,120,250,25,88
98,60,150,150,23
99,90,200,25,73
100,30,350,50,61
101,120,300,100,35
102,150,200,50,27
103,30,300,100,28
104,60,250,150,16
105,150,250,150,11
106,120,250,50,17
107,90,350,200,27
108,90,250,150,19
109,60,250,200,18
110,30,250,200,12
111,90,350,25,12
112,90,200,50,17
113,150,250,50,16
114,60,150,200,22
115,150,150,200,17
116,120,200,25,15
117,60,200,100,19
118,150,300,100,1
119,120,250,200,4
120,150,150,25,90
121,60,250,50,50
122,150,200,200,18
123,30,350,200,15
124,60,300,200,8
125,150,300,150,29
126,60,350,150,18
127,90,350,150,6
128,120,200,25,86
129,30,350,200,13
130,60,300,50,96
131,90,350,25,98
132,30,350,100,24
133,150,250,50,78
134,60,200,200,10
135,60,250,50,9
136,150,150,150,22
137,60,250,150,25
138,150,350,200,53
139,150,300,100,12
140,150,250,100,14
141,150,300,50,61
142,90,300,25,89
143,120,300,150,2
144,90,250,50,64
145,60,150,100,64
146,30,200,25,68
147,90,300,150,13
148,30,200,150,10
149,120,150,50,55
150,30,300,200,5
151,60,200,25,86
152,30,300,150,12
153,90,200,50,73
154,90,350,200,12
155,30,250,200,6
156,60,150,150,24
157,30,350,150,3
158,60,150,200,3
159,150,200,50,4
160,60,150,50,5
161,150,300,25,96
162,120,300,25,100
163,120,200,150,24
164,150,250,150,41
165,60,350,25,88
166,90,250,150,78
167,120,350,50,87
168,90,200,200,45
169,30,150,100,37
170,30,350,50,25
171,120,250,50,49
172,120,350,25,89
173,150,200,200,74
174,30,250,150,46
175,150,250,200,66
176,30,350,25,0
177,120,150,100,37
178,120,200,200,23
179,60,300,150,62
180,150,350,150,17
181,60,200,100,52
182,60,300,200,14
183,30,250,25,54
184,150,150,25,100
185,120,250,200,8
186,90,250,200,4
187,90,150,200,3
188,150,250,25,85
189,150,350,25,99
190,90,150,100,57
191,120,250,25,80
192,30,250,50,25
193,60,250,25,50
194,90,350,50,78
195,90,300,200,3
196,30,150,200,10
197,150,350,100,17
198,60,200,150,36
199,30,200,100,9
200,150,150,200,17
201,120,150,25,88
202,30,200,200,10
203,60,150,25,94
204,150,150,100,6
205,90,200,150,20
206,120,350,100,18
207,30,150,25,92
208,120,150,200,8
209,30,150,150,17
210,120,350,150,7
211,150,300,200,5
212,60,250,100,3
213,30,300,50,46
214,30,300,25,59
215,120,300,100,22
216,30,200,50,63
217,30,250,100,57
218,60,350,200,22
219,120,200,50,59
220,120,300,50,62
221,90,150,25,80
222,120,250,100,34
223,150,200,150,18
224,90,150,50,83
225,150,200,25,75
226,90,150,150,35
227,90,200,25,85
228,120,350,200,30
229,120,150,150,35
230,90,200,100,41
231,120,250,150,50
232,90,300,50,51
233,60,200,50,53
234,120,300,200,18
235,90,250,100,16
236,150,350,50,34
