trial,line_length,line_angle,rating
0,150,36,66
1,250,36,93
2,300,36,100
3,50,36,6
4,75,36,11
5,200,36,62
6,100,36,63
7,200,36,80
8,250,36,91
9,75,36,18
10,50,36,4
11,100,36,14
12,300,36,77
13,150,36,91
14,50,36,11
15,100,36,18
16,250,36,60
17,300,36,71
18,75,36,14
19,150,36,50
20,200,36,78
21,300,72,79
22,300,60,77
23,300,36,29
24,300,12,6
25,300,48,39
26,300,24,0
27,300,84,81
28,300,84,84
29,300,72,81
30,300,12,0
31,300,60,55
32,300,36,36
33,300,48,32
34,300,24,3
35,300,48,28
36,300,84,81
37,300,36,26
38,300,60,53
39,300,12,6
40,300,24,0
41,300,72,82
