trial,line_length,stim_radius,stim_period,rating
0,150,300,150,25
1,120,250,25,65
2,150,350,100,29
3,120,250,50,25
4,150,250,200,38
5,120,150,50,69
6,120,200,200,71
7,60,200,200,34
8,60,200,50,16
9,150,300,100,22
10,60,200,25,49
11,90,150,25,43
12,60,350,100,4
13,60,350,200,0
14,150,250,150,19
15,30,250,200,0
16,120,350,100,41
17,120,200,100,68
18,90,250,50,40
19,60,200,150,30
20,30,200,25,56
21,150,150,25,78
22,120,350,25,41
23,30,200,150,5
24,150,300,200,69
25,30,350,25,1
26,30,300,200,18
27,90,350,100,50
28,30,350,50,2
29,120,300,50,69
30,90,150,150,87
31,90,350,50,22
32,30,150,25,20
33,90,300,25,34
34,150,200,50,59
35,90,300,200,39
36,120,200,25,57
37,120,300,25,53
38,120,300,150,61
39,120,350,200,42
40,60,300,200,23
41,120,200,50,56
42,90,200,25,44
43,150,300,50,63
44,150,250,100,75
45,30,250,100,1
46,30,200,50,2
47,30,350,150,6
48,120,250,200,86
49,120,300,100,86
50,90,150,50,71
51,90,250,100,72
52,60,250,200,56
53,120,250,100,79
54,150,200,150,90
55,90,300,150,25
56,60,150,50,26
57,60,150,100,40
58,30,250,50,0
59,120,150,100,90
60,60,150,25,68
61,120,350,50,26
62,150,250,50,20
63,150,150,50,76
64,60,300,25,3
65,150,300,25,16
66,120,250,150,65
67,30,250,25,0
68,90,150,200,71
69,150,350,150,41
70,90,150,100,63
71,30,150,200,11
72,120,150,25,40
73,60,250,25,30
74,60,350,25,10
75,60,350,50,2
76,150,250,25,57
77,90,350,200,16
78,120,300,200,63
79,30,300,100,0
80,120,150,200,89
81,30,300,25,1
82,90,250,200,57
83,30,350,200,8
84,30,150,100,1
85,150,150,100,99
86,30,300,150,1
87,30,350,100,3
88,150,150,200,79
89,60,150,150,73
90,60,300,50,15
91,150,200,25,62
92,90,250,150,28
93,60,350,150,24
94,30,300,50,2
95,30,250,150,8
96,90,200,150,60
97,30,200,200,33
98,120,350,150,56
99,30,150,50,3
100,60,300,100,22
101,60,250,50,6
102,60,250,100,21
103,60,200,100,43
104,60,250,150,16
105,90,300,50,51
106,90,350,150,42
107,60,150,200,62
108,60,300,150,27
109,30,150,150,30
110,150,350,25,38
111,30,200,100,6
112,120,150,150,73
113,150,200,100,59
114,150,350,50,41
115,150,200,200,63
116,90,250,25,23
117,90,200,200,52
118,120,200,150,72
119,150,350,200,83
120,90,200,100,58
121,90,300,100,58
122,90,350,25,26
123,90,200,50,55
124,150,150,150,86
125,60,300,25,28
126,150,250,200,54
127,120,300,25,37
128,120,150,150,66
129,30,200,25,5
130,120,150,100,87
131,90,200,150,58
132,30,300,25,1
133,60,200,150,37
134,60,350,100,4
135,60,150,25,8
136,30,350,200,1
137,30,200,150,15
138,120,150,200,96
139,120,350,150,39
140,60,250,200,29
141,60,200,100,34
142,30,300,150,20
143,120,250,50,57
144,30,250,100,4
145,150,300,100,51
146,90,300,25,25
147,30,200,100,15
148,90,350,100,23
149,60,250,100,28
150,120,250,200,66
151,90,350,50,26
152,120,250,25,49
153,120,150,25,38
154,60,350,50,13
155,150,350,150,66
156,150,250,100,72
157,30,350,50,0
158,150,150,200,95
159,90,150,25,22
160,150,200,100,70
161,120,350,200,51
162,150,350,200,55
163,150,350,50,40
164,150,200,50,38
165,30,250,25,0
166,30,150,100,4
167,90,200,100,46
168,30,350,25,0
169,30,150,150,3
170,120,300,200,40
171,120,200,150,66
172,150,250,50,53
173,60,250,25,4
174,90,250,50,13
175,150,300,25,27
176,90,350,150,9
177,90,150,150,74
178,30,250,150,0
179,90,300,150,34
180,90,200,25,20
181,120,150,50,88
182,90,250,100,41
183,60,150,200,51
184,150,250,150,60
185,60,200,25,18
186,120,350,50,36
187,60,350,200,9
188,30,300,200,0
189,60,150,50,17
190,60,150,100,43
191,30,350,100,0
192,90,250,150,35
193,150,250,25,36
194,90,150,200,70
195,120,350,100,36
196,60,150,150,52
197,150,150,100,79
198,60,300,200,5
199,150,350,25,28
200,150,150,150,80
201,150,350,100,37
202,30,150,50,2
203,30,350,150,0
204,60,300,150,3
205,150,300,50,53
206,120,250,100,67
207,120,350,25,0
208,90,250,200,46
209,30,250,200,1
210,150,200,25,22
211,90,200,50,47
212,90,200,200,55
213,30,200,50,0
214,90,250,25,4
215,30,150,25,2
216,60,200,200,17
217,90,350,200,30
218,90,350,25,9
219,120,200,25,23
220,150,150,25,17
221,60,350,25,1
222,120,250,150,63
223,150,300,150,60
224,150,200,200,82
225,120,200,100,73
226,60,300,100,30
227,120,200,200,63
228,150,300,200,44
229,60,250,150,20
230,150,150,50,46
231,30,300,50,0
232,30,250,50,1
233,60,200,50,16
234,90,150,100,58
235,150,200,150,68
236,120,200,50,64
237,90,300,50,37
238,30,200,200,22
239,30,150,200,3
240,120,300,150,48
241,90,300,200,36
242,60,350,150,2
243,30,300,100,0
244,120,300,50,54
245,120,300,100,42
246,60,300,50,5
