trial,line_length,stim_radius,stim_period,rating
0,90,150,50,24
1,90,200,200,14
2,150,350,200,13
3,30,350,200,10
4,30,300,50,31
5,60,300,50,51
6,30,150,25,76
7,30,300,25,85
8,60,250,150,29
9,120,250,200,19
10,90,350,150,21
11,60,200,100,21
12,60,250,50,40
13,120,150,50,60
14,90,250,50,46
15,60,250,25,77
16,60,150,25,76
17,150,150,150,22
18,30,300,200,16
19,150,150,100,25
20,60,300,200,9
21,30,200,100,12
22,150,250,50,40
23,60,350,150,17
24,150,350,100,21
25,90,200,100,17
26,150,250,25,77
27,30,200,50,65
28,150,200,100,27
29,120,250,25,82
30,120,250,100,18
31,120,350,200,6
32,120,350,100,12
33,150,300,100,10
34,120,200,25,93
35,30,150,50,72
36,120,350,150,14
37,90,150,25,93
38,120,300,100,29
39,150,200,25,85
40,120,200,200,80
41,30,300,150,16
42,90,300,150,23
43,90,350,25,78
44,150,150,25,90
45,120,350,50,23
46,60,250,200,19
47,60,250,100,24
48,90,250,25,64
49,150,350,150,21
50,60,350,100,12
51,150,200,200,16
52,30,250,50,15
53,30,200,25,87
54,30,250,25,89
55,150,300,25,87
56,60,150,100,36
57,90,150,100,18
58,60,200,50,20
59,60,150,150,12
60,60,300,25,88
61,120,150,200,28
62,150,250,200,18
63,90,200,25,91
64,150,350,25,80
65,60,200,150,20
66,60,300,100,15
67,90,300,25,74
68,150,300,200,25
69,150,150,50,25
70,150,350,50,37
71,150,200,50,64
72,90,350,200,14
73,90,250,150,17
74,90,300,200,17
75,60,150,50,71
76,150,300,150,20
77,120,150,150,13
78,30,200,150,17
79,120,300,200,21
80,90,200,50,78
81,120,200,50,77
82,30,250,150,21
83,60,200,200,20
84,30,250,100,26
85,30,150,200,25
86,90,150,200,18
87,120,300,50,40
88,120,300,25,69
89,90,250,100,30
90,150,250,100,34
91,120,300,150,24
92,90,200,150,24
93,90,350,50,40
94,30,350,50,39
95,120,250,150,24
96,60,350,25,59
97,30,150,100,29
98,120,350,25,70
99,60,200,25,68
100,30,200,200,32
101,30,150,150,39
102,120,150,25,81
103,150,200,150,32
104,90,300,100,34
105,30,350,150,33
106,60,350,200,41
107,90,250,200,37
108,150,300,50,43
109,150,150,200,17
110,60,150,200,21
111,150,250,150,25
112,30,250,200,13
113,120,150,100,31
114,30,300,100,30
115,90,350,100,21
116,60,350,50,18
117,90,300,50,23
118,90,150,150,16
119,30,350,100,20
120,30,350,25,72
121,120,200,150,17
122,120,250,50,46
123,60,300,150,15
124,120,200,100,26
125,150,150,50,27
126,150,200,150,16
127,120,200,200,18
128,120,350,150,23
129,90,250,150,20
130,90,350,100,32
131,60,150,150,16
132,30,200,25,83
133,30,200,50,32
134,150,350,100,26
135,120,200,150,12
136,90,300,150,17
137,30,250,150,21
138,90,200,50,39
139,150,300,200,28
140,30,300,100,28
141,60,200,200,30
142,90,200,150,23
143,150,200,50,64
144,90,200,25,88
145,30,350,100,30
146,60,350,150,32
147,150,250,25,94
148,120,250,150,28
149,60,300,50,33
150,120,350,100,34
151,30,150,100,28
152,120,150,100,18
153,30,150,50,60
154,120,250,100,14
155,90,300,50,43
156,120,350,200,4
157,90,150,100,37
158,30,250,100,30
159,150,350,150,15
160,90,200,200,7
161,60,250,25,82
162,60,150,25,95
163,30,300,150,13
164,150,200,200,10
165,90,150,25,92
166,30,250,25,88
167,120,150,200,29
