trial,line_length,stim_radius,stim_period,rating
0,150,300,200,22
1,60,350,50,6
2,30,350,100,0
3,120,350,150,9
4,90,250,25,4
5,90,250,100,20
6,60,300,150,1
7,150,250,25,7
8,90,250,150,5
9,90,200,150,39
10,120,150,150,45
11,30,250,25,1
12,60,300,100,2
13,120,200,50,1
14,150,350,25,2
15,60,250,150,4
16,150,300,25,5
17,90,250,50,5
18,90,150,150,15
19,60,150,50,21
20,90,150,100,25
21,120,300,150,11
22,30,250,150,0
23,120,250,150,11
24,90,300,100,6
25,90,250,200,10
26,150,200,150,15
27,30,250,200,0
28,120,250,100,14
29,30,200,50,0
30,30,250,100,0
31,30,350,200,0
32,30,150,150,0
33,60,250,25,4
34,60,300,25,3
35,90,150,200,48
36,150,250,150,46
37,90,350,200,14
38,90,200,50,21
39,120,250,25,12
40,90,350,100,11
41,90,300,25,9
42,90,350,25,8
43,90,200,25,10
44,60,150,100,28
45,30,250,50,2
46,30,300,150,0
47,150,200,50,31
48,150,150,100,51
49,60,200,200,20
50,120,150,50,27
51,60,250,50,9
52,90,300,200,11
53,30,300,50,0
54,30,300,100,0
55,90,150,25,7
56,60,200,150,26
57,60,200,50,7
58,150,200,200,25
59,120,200,100,25
60,150,250,50,10
61,150,300,150,12
62,60,350,100,0
63,30,150,100,7
64,90,300,150,7
65,90,150,50,12
66,150,200,25,7
67,90,200,100,11
68,150,300,100,8
69,120,300,200,9
70,150,250,100,11
71,30,200,150,0
72,30,350,50,0
73,120,250,200,32
74,150,350,150,18
75,60,300,50,2
76,150,150,25,16
77,120,300,25,3
78,120,150,200,36
79,90,350,50,5
80,30,150,200,0
81,30,200,25,0
82,150,150,50,13
83,120,350,200,19
84,150,350,200,13
85,150,150,200,22
86,60,200,25,10
87,120,350,25,1
88,120,200,25,2
89,60,250,200,0
90,120,200,200,15
91,60,350,25,4
92,30,300,25,1
93,60,350,150,4
94,60,250,100,1
95,150,300,50,9
96,60,150,200,19
97,120,200,150,16
98,150,150,150,26
99,120,300,100,14
100,60,350,200,0
101,120,150,25,15
102,60,200,100,17
103,90,350,150,4
104,30,150,25,7
105,90,300,50,6
106,120,250,50,10
107,150,350,50,10
108,120,350,100,10
109,30,200,100,0
110,120,350,50,7
111,90,200,200,40
112,150,250,200,42
113,60,150,150,62
114,120,300,50,19
115,30,200,200,0
116,30,350,150,0
117,30,300,200,1
118,150,200,100,23
119,60,150,25,19
120,60,300,200,6
