trial,line_length,stim_radius,stim_period,rating
0,120,250,50,47
1,90,150,150,66
2,30,200,50,30
3,30,250,50,13
4,60,300,25,7
5,30,300,25,0
6,90,250,200,40
7,150,150,50,90
8,90,350,50,72
9,60,150,25,41
10,30,300,100,29
11,90,250,25,37
12,90,300,200,80
13,30,350,50,65
14,60,250,50,68
15,60,200,100,70
16,120,300,50,75
17,30,250,100,26
18,60,350,200,13
19,90,200,50,57
20,150,350,200,33
21,30,150,200,37
22,60,200,200,42
23,60,350,50,24
24,30,200,25,0
25,150,150,150,72
26,90,300,150,58
27,120,150,25,51
28,90,200,150,68
29,60,300,150,49
30,150,150,25,75
31,60,200,50,80
32,120,200,100,71
33,60,200,150,76
34,150,300,100,79
35,120,300,200,42
36,150,350,50,43
37,150,200,100,73
38,30,350,100,11
39,90,150,50,71
40,120,250,25,46
41,150,300,150,74
42,90,150,200,63
43,150,150,100,78
44,30,250,200,7
45,120,350,150,50
46,90,200,200,60
47,60,200,25,0
48,90,250,150,48
49,90,350,150,57
50,120,200,150,58
51,60,300,50,0
52,30,200,200,13
53,150,350,150,17
54,150,200,25,56
55,90,300,25,0
56,90,200,100,47
57,120,250,200,19
58,120,350,200,27
59,90,350,200,24
60,30,300,150,12
61,90,250,100,35
62,60,300,200,22
63,120,250,150,39
64,150,300,200,31
65,60,350,25,0
66,120,150,150,81
67,30,150,50,6
68,60,250,150,33
69,120,150,200,72
70,60,350,100,14
71,120,350,50,10
72,60,300,100,17
73,60,150,200,31
74,90,150,25,19
75,60,150,150,26
76,90,350,25,7
77,150,250,25,48
78,150,300,50,56
79,60,350,150,14
80,120,250,100,58
81,150,150,200,80
82,90,350,100,17
83,30,200,150,7
84,150,200,50,62
85,90,300,100,19
86,150,200,150,71
87,150,250,50,78
88,120,150,100,79
89,30,350,25,8
90,30,300,200,6
91,90,300,50,34
92,90,200,25,9
93,120,300,150,15
94,30,150,25,2
95,120,200,200,63
96,120,350,25,13
97,150,350,100,24
98,30,300,50,7
99,60,250,25,3
100,150,250,150,63
101,120,200,25,14
102,150,250,200,67
103,30,150,100,0
104,150,250,100,54
105,120,300,25,23
106,60,250,200,18
107,120,300,100,60
108,90,250,50,58
109,150,200,200,75
110,120,150,50,75
111,30,350,150,17
112,120,200,50,72
113,30,200,100,16
114,150,350,25,10
115,90,150,100,63
116,60,250,100,31
117,60,150,100,33
118,30,150,150,29
119,30,350,200,20
120,30,250,150,29
121,60,150,50,33
122,150,300,25,38
123,30,250,25,11
124,120,350,100,19
125,90,150,200,74
126,120,250,100,17
127,30,200,25,9
128,120,250,50,35
129,30,300,100,14
130,150,300,150,22
131,90,300,100,24
132,120,200,200,25
133,30,150,50,33
134,90,250,100,67
135,120,150,200,76
136,120,150,100,87
137,60,250,100,68
138,120,300,100,71
139,60,200,200,66
140,60,300,150,57
141,60,300,100,59
142,30,350,200,62
143,120,350,100,83
144,150,150,150,73
145,90,250,50,70
146,30,300,25,7
147,120,350,50,41
148,150,350,50,53
149,60,350,25,16
150,30,350,150,18
151,60,150,150,38
152,60,150,200,36
153,120,350,25,5
154,30,250,50,19
155,120,350,200,33
156,90,350,150,22
157,150,150,200,69
158,30,200,150,29
159,90,200,50,50
160,90,200,150,45
161,150,150,50,73
162,60,250,200,42
163,30,300,50,10
164,150,250,25,21
165,90,200,100,75
166,30,350,100,10
167,90,150,100,39
168,150,300,100,62
169,90,200,25,7
170,150,300,25,7
171,150,250,100,19
172,60,250,50,14
173,120,200,50,30
174,120,250,25,7
175,90,300,200,43
176,30,350,25,7
177,90,350,100,15
178,60,200,25,12
179,150,200,50,88
180,90,350,25,34
181,30,250,150,6
182,150,150,25,50
183,30,350,50,9
184,60,350,100,24
185,60,300,200,26
186,150,200,25,11
187,90,200,200,19
188,90,150,25,7
189,90,150,50,21
190,30,150,100,12
191,120,350,150,17
192,150,200,150,79
193,30,250,25,6
194,150,350,200,29
195,60,150,100,43
196,30,150,200,20
197,60,200,50,36
198,120,300,200,34
199,150,350,100,37
200,90,250,150,50
201,90,150,150,23
202,150,200,100,57
203,30,250,100,18
204,60,250,25,0
205,90,300,150,20
206,60,200,100,30
207,120,150,150,37
208,150,150,100,67
209,150,300,50,47
210,90,300,25,4
211,120,250,200,17
212,30,250,200,7
213,90,250,25,5
214,30,200,100,5
215,150,350,150,30
216,120,200,100,72
217,60,300,25,0
218,120,200,150,73
219,90,350,200,51
220,120,250,150,74
221,60,200,150,48
222,150,250,50,82
223,150,250,200,62
224,120,300,50,70
225,60,250,150,71
226,60,150,25,11
227,90,350,50,17
228,120,150,50,38
229,30,150,25,7
230,30,300,150,15
231,30,150,150,17
232,60,300,50,8
233,150,200,200,51
234,120,300,25,36
235,120,150,25,27
236,120,300,150,60
237,60,350,200,36
238,150,250,150,67
239,60,350,150,35
240,60,350,50,0
241,30,200,200,27
242,90,250,200,29
243,120,200,25,16
244,90,300,50,21
245,30,200,50,16
246,150,350,25,13
247,150,300,200,24
248,60,150,50,69
249,30,300,200,41
250,60,300,200,18
251,90,250,200,27
252,150,150,25,61
253,120,150,200,39
254,30,150,150,16
255,120,350,150,25
256,60,250,150,15
257,150,150,50,71
258,90,350,25,16
259,30,150,200,21
260,120,150,25,71
261,30,300,50,6
262,90,300,200,51
263,30,350,150,36
264,30,200,150,43
265,150,300,50,70
266,120,200,200,61
267,60,150,50,70
268,120,300,150,62
269,60,350,100,63
270,150,350,150,72
271,60,150,200,53
272,30,200,100,28
273,60,200,100,30
274,90,300,50,36
275,120,250,50,31
276,120,250,25,35
277,150,350,50,40
278,150,300,100,48
279,90,200,200,51
280,150,250,150,61
281,120,200,25,13
282,90,200,25,29
283,60,350,50,9
284,120,350,25,5
285,60,250,200,13
286,120,200,100,48
287,30,300,150,13
288,150,200,100,73
289,90,300,100,59
290,60,350,150,57
291,150,150,150,59
292,60,350,200,43
293,30,250,50,42
294,30,350,25,14
295,120,250,150,32
296,150,200,150,34
297,150,350,200,33
298,90,250,50,36
299,30,150,100,46
300,30,300,25,6
301,60,300,150,20
302,90,300,150,35
303,30,300,200,30
304,30,350,100,33
305,150,150,100,68
306,150,250,100,72
307,90,250,100,50
308,60,300,50,49
309,120,350,50,65
310,120,250,200,66
311,60,200,200,72
312,60,150,100,67
313,150,200,25,32
314,60,200,150,35
315,90,250,25,11
316,150,250,200,28
317,150,200,50,45
318,150,300,25,29
319,60,200,50,45
320,60,150,25,33
321,120,350,100,40
322,120,350,200,41
323,120,300,100,42
324,120,300,25,10
325,90,350,50,19
326,90,200,50,12
327,60,300,25,16
328,60,250,100,22
329,90,250,150,13
330,60,350,25,6
331,90,350,200,18
332,120,300,200,19
333,150,350,100,49
334,30,150,25,0
335,90,150,150,63
336,90,200,150,71
337,150,300,150,73
338,30,250,25,0
339,150,250,50,69
340,120,150,150,78
341,90,350,100,45
342,60,250,50,30
