trial,line_length,stim_radius,stim_period,rating
0,30,200,100,1
1,30,150,200,3
2,30,150,25,3
3,30,300,100,2
4,120,200,200,69
5,60,200,150,24
6,30,250,200,0
7,90,150,100,85
8,90,250,200,21
9,90,150,50,83
10,60,300,150,12
11,120,150,150,92
12,150,300,150,57
13,90,150,25,3
14,30,150,100,2
15,90,350,25,1
16,120,150,50,89
17,90,300,100,12
18,60,300,25,1
19,30,200,200,0
20,90,250,25,2
21,150,250,200,39
22,60,300,200,2
23,30,150,50,1
24,150,250,100,79
25,120,350,25,1
26,90,300,25,3
27,120,300,150,48
28,30,200,50,1
29,30,150,150,2
30,60,200,200,29
31,30,300,25,1
32,120,200,25,2
33,90,250,50,23
34,120,200,50,48
35,90,350,200,15
36,120,350,100,39
37,150,300,200,33
38,150,350,100,54
39,60,250,200,9
40,90,200,150,69
41,60,200,25,2
42,150,300,50,46
43,30,200,25,1
44,60,150,150,56
45,120,300,200,25
46,60,350,150,2
47,120,350,200,12
48,30,250,150,0
49,150,250,50,38
50,60,250,50,1
51,30,200,150,3
52,30,350,150,0
53,150,250,150,53
54,60,350,50,1
55,150,350,150,37
56,120,300,100,55
57,120,250,100,62
58,90,300,150,39
59,60,350,25,1
60,150,150,50,89
61,150,350,50,64
62,120,250,150,76
63,90,150,150,93
64,120,200,100,66
65,30,350,50,4
66,30,250,50,1
67,90,350,50,1
68,90,150,200,54
69,150,350,25,1
70,60,150,200,55
71,120,250,25,1
72,60,250,25,1
73,120,300,25,0
74,90,300,200,48
75,150,250,25,1
76,120,200,150,32
77,150,300,25,1
78,60,150,25,1
79,120,350,150,32
80,120,150,25,2
81,60,250,100,2
82,90,200,25,5
83,150,150,100,96
84,90,250,150,79
85,150,150,150,94
86,150,350,200,83
87,60,200,50,0
88,150,300,100,65
89,30,250,100,1
90,90,350,150,11
91,90,200,50,15
92,60,300,50,0
93,30,250,25,0
94,30,350,100,1
95,30,350,25,1
96,60,150,100,65
97,30,350,200,0
98,120,150,200,94
99,30,300,200,1
100,60,250,150,26
101,90,300,50,1
102,120,350,50,7
103,120,250,200,69
104,30,300,150,3
105,90,250,100,25
106,150,200,200,62
107,30,300,50,0
108,150,150,200,95
109,60,150,50,9
110,60,300,100,1
111,60,200,100,2
112,150,200,25,1
113,120,300,50,14
114,60,350,200,1
115,150,200,100,64
116,60,350,100,2
117,150,200,150,62
118,150,150,25,1
119,90,200,200,38
120,150,200,50,51
121,90,200,100,64
122,120,250,50,19
123,90,350,100,9
124,120,150,100,81
125,150,200,150,56
126,90,300,200,21
127,90,150,150,64
128,90,300,150,48
129,90,350,200,22
130,150,200,200,75
131,90,350,150,20
132,30,250,25,2
133,150,150,25,3
134,30,350,100,1
135,60,250,200,1
136,120,350,150,30
137,150,350,25,1
138,150,350,50,38
139,60,300,200,1
140,90,250,150,9
141,120,300,50,14
142,90,350,50,4
143,60,300,50,5
144,90,250,100,8
145,90,350,25,1
146,120,300,25,1
147,90,250,25,0
148,120,200,100,39
149,30,350,150,1
150,60,250,25,1
151,150,250,150,63
152,60,150,50,4
153,120,150,50,86
154,30,200,25,3
155,120,150,200,73
156,60,350,200,2
157,90,200,150,26
158,60,200,200,6
159,30,300,50,0
160,150,200,25,2
161,120,250,25,2
162,90,300,100,18
163,30,300,200,2
164,120,300,100,47
165,150,250,50,59
166,60,350,50,3
167,30,250,50,1
168,120,350,100,16
169,30,200,150,1
170,150,300,100,18
171,120,350,50,10
172,60,200,150,22
173,60,350,25,3
174,150,200,100,56
175,90,250,200,13
176,120,200,200,71
177,30,300,100,1
178,60,200,25,1
179,30,300,150,1
180,150,300,200,18
181,90,200,25,1
182,120,200,50,66
183,120,150,25,3
184,30,200,200,3
185,120,250,100,39
186,150,250,25,3
187,60,300,150,3
188,120,200,25,3
189,150,150,100,44
190,30,150,200,6
191,60,300,25,4
192,30,350,200,2
193,60,150,25,3
194,60,150,200,27
195,30,150,150,1
196,90,150,100,75
197,90,200,50,46
198,120,350,200,21
199,60,350,150,2
200,150,350,200,28
201,150,150,150,85
202,60,150,100,18
203,120,250,50,14
204,120,300,150,40
