trial,line_length,stim_radius,stim_period,rating
0,90,350,25,5
1,60,250,50,3
2,150,250,50,46
3,150,350,150,5
4,90,250,200,10
5,30,250,25,5
6,30,350,50,3
7,150,150,150,25
8,90,350,50,57
9,120,250,200,11
10,120,200,25,93
11,30,300,50,2
12,150,350,50,54
13,120,300,100,11
14,150,300,200,4
15,120,300,50,59
16,30,300,25,1
17,60,300,100,3
18,150,200,100,42
19,30,200,150,1
20,150,300,50,56
21,60,150,200,6
22,30,350,150,3
23,60,200,100,5
24,60,250,100,8
25,60,200,200,9
26,30,150,100,3
27,30,350,25,14
28,90,250,100,26
29,150,250,150,20
30,150,200,50,85
31,120,300,200,4
32,60,250,25,4
33,90,150,50,51
34,60,150,25,55
35,150,300,150,6
36,150,250,25,64
37,30,300,200,0
38,30,300,100,1
39,120,250,50,64
40,90,150,25,68
41,60,350,200,1
42,90,200,200,19
43,60,300,200,0
44,30,250,150,2
45,120,250,25,90
46,60,300,150,12
47,30,350,200,0
48,120,150,200,44
49,120,250,100,7
50,90,250,25,68
51,90,300,200,2
52,120,350,50,24
53,30,150,25,0
54,90,150,200,2
55,60,200,50,28
56,90,200,150,3
57,120,300,150,1
58,150,150,50,80
59,30,300,150,0
60,30,250,50,3
61,120,250,150,1
62,60,200,25,2
63,30,200,25,2
64,30,200,200,1
65,30,200,100,1
66,150,150,200,72
67,120,200,100,63
68,60,300,50,6
69,60,250,150,15
70,90,200,100,24
71,60,350,50,7
72,60,150,150,40
73,90,350,150,6
74,90,350,100,9
75,90,300,50,83
76,150,250,100,79
77,60,250,200,4
78,150,300,25,97
79,120,350,25,99
80,90,300,100,3
81,120,200,50,53
82,30,150,50,1
83,30,250,200,2
84,150,250,200,48
85,120,200,150,53
86,30,150,200,1
87,90,200,50,72
88,30,200,50,4
89,90,250,150,32
90,120,150,25,95
91,90,350,200,12
92,120,150,150,76
93,30,250,100,1
94,120,150,50,62
95,90,300,150,62
96,150,350,100,61
97,120,300,25,93
98,150,200,200,66
99,60,350,100,3
100,120,350,200,59
101,30,350,100,2
102,60,150,50,31
103,150,300,100,54
104,90,200,25,73
105,150,150,100,93
106,120,350,150,66
107,90,300,25,55
108,120,200,200,92
109,30,150,150,2
110,150,150,25,89
111,60,200,150,1
112,150,200,25,88
