trial,line_length,stim_radius,stim_period,rating
0,60,350,25,11
1,120,200,150,43
2,150,150,25,67
3,150,150,50,90
4,60,350,50,16
5,120,150,100,54
6,60,250,100,25
7,60,300,50,15
8,150,200,150,58
9,90,150,100,64
10,120,200,25,49
11,150,350,150,32
12,150,300,100,39
13,120,300,150,24
14,90,250,25,20
15,90,250,150,14
16,90,200,50,46
17,60,250,150,32
18,60,300,200,18
19,150,300,150,25
20,90,250,100,31
21,60,150,150,39
22,150,300,50,61
23,120,250,25,43
24,30,350,100,18
25,90,150,25,25
26,60,300,100,18
27,60,350,100,8
28,60,200,150,12
29,90,300,100,24
30,30,150,50,23
31,90,250,50,31
32,60,200,25,32
33,150,200,100,40
34,30,350,200,16
35,30,300,150,15
36,150,200,25,38
37,120,350,100,29
38,150,200,50,48
39,60,250,200,21
40,30,150,25,13
41,60,300,150,10
42,90,350,25,10
43,90,350,150,20
44,120,350,150,16
45,150,250,200,51
46,30,200,200,25
47,90,350,100,31
48,120,150,150,72
49,120,300,50,40
50,30,300,50,15
51,60,200,100,18
52,60,200,200,20
53,120,300,200,36
54,30,200,25,9
55,30,150,150,17
56,30,300,100,21
57,90,300,25,25
58,30,350,50,11
59,150,300,200,42
60,120,350,200,46
61,60,350,150,23
62,60,150,25,19
63,150,250,50,61
64,90,300,150,60
65,120,200,50,66
66,30,200,150,30
67,120,250,100,54
68,150,350,50,76
69,120,250,50,77
70,30,250,150,25
71,30,350,25,12
72,60,350,200,23
73,30,250,200,13
74,150,350,25,18
75,150,300,25,15
76,120,150,25,23
77,120,250,150,47
78,120,350,50,37
79,150,150,100,81
80,150,150,150,87
81,120,350,25,25
82,90,300,200,16
83,90,350,200,16
84,120,150,200,76
85,150,150,200,81
86,60,200,50,23
87,30,250,50,17
88,90,250,200,43
89,60,250,50,15
90,150,350,100,51
91,90,200,150,52
92,60,150,100,59
93,30,250,25,12
94,90,150,50,38
95,90,200,100,58
96,30,350,150,14
97,120,200,100,70
98,120,300,100,48
99,30,300,200,17
100,90,150,200,55
101,150,200,200,75
102,120,150,50,81
103,30,250,100,23
104,30,150,100,21
105,120,300,25,37
106,60,300,25,11
107,30,300,25,16
108,60,150,200,23
109,150,250,100,64
110,30,200,100,23
111,120,200,200,64
112,90,200,25,42
113,60,150,50,27
114,30,200,50,22
115,90,200,200,56
116,90,350,50,22
117,90,150,150,54
118,150,250,150,56
119,120,250,200,62
120,150,350,200,59
121,60,250,25,32
122,150,250,25,65
123,90,300,50,28
124,30,150,200,21
125,60,350,150,22
126,150,350,100,42
127,120,250,50,57
128,150,300,25,34
129,120,250,100,73
130,150,300,200,33
131,150,200,25,43
132,90,200,150,40
133,60,150,100,21
134,150,150,200,84
135,90,250,100,44
136,90,300,25,27
137,120,350,200,28
138,90,200,100,50
139,30,300,150,16
140,90,300,100,33
141,60,300,200,20
142,120,350,100,19
143,90,350,150,17
144,60,200,50,13
145,90,300,50,24
146,120,350,25,14
147,30,300,25,14
148,30,150,200,11
149,90,150,200,55
150,120,200,150,72
151,30,300,200,16
152,60,350,25,16
153,150,250,25,37
154,90,150,25,38
155,120,300,50,51
156,90,200,200,71
157,30,250,50,24
158,150,300,50,45
159,150,200,150,57
160,120,300,25,39
161,60,200,150,54
162,90,250,50,46
163,30,350,25,20
164,150,350,150,30
165,150,200,100,58
166,150,150,25,85
167,30,350,50,9
168,30,250,150,8
169,150,250,100,55
170,120,200,200,62
171,90,300,200,37
172,120,150,200,58
173,150,350,50,41
174,150,150,150,68
175,60,350,100,19
176,30,250,25,9
177,30,150,100,14
178,120,250,25,9
179,150,250,200,55
180,60,250,200,35
181,90,150,150,61
182,60,150,25,33
183,150,350,200,51
184,150,300,150,66
185,120,150,25,43
186,30,200,50,13
187,30,200,100,15
188,60,350,50,13
189,60,350,200,11
190,30,300,100,16
191,60,200,200,25
192,30,150,150,32
193,30,150,50,10
194,120,200,100,57
195,150,150,100,86
196,30,200,150,17
197,120,200,50,60
198,150,200,50,80
199,120,300,100,54
200,30,350,150,20
201,60,150,150,51
202,30,250,200,13
203,60,300,100,22
204,90,150,50,50
205,60,150,200,45
206,90,250,200,48
207,60,200,100,37
208,30,350,200,18
209,30,200,200,15
210,90,350,200,19
211,60,200,25,16
212,60,300,50,22
213,60,250,50,13
214,120,250,150,42
215,150,350,25,38
216,120,150,100,56
217,60,250,100,30
218,90,350,25,22
219,90,250,150,35
220,120,150,50,75
221,90,200,25,36
222,30,250,100,15
223,150,200,200,58
224,60,250,25,24
225,120,300,150,51
226,90,250,25,42
227,90,300,150,53
228,60,300,25,16
229,90,350,50,31
230,90,350,100,26
231,150,150,50,64
232,150,250,50,79
233,30,300,50,25
234,120,350,50,43
235,60,150,50,30
236,120,300,200,53
237,60,250,150,26
238,120,250,200,43
239,120,350,150,36
240,120,150,150,69
241,30,350,100,18
242,150,300,100,44
243,30,200,25,17
244,90,200,50,37
245,60,300,150,21
246,150,250,150,51
247,30,150,25,20
248,120,200,25,26
249,90,150,100,58
250,90,200,100,35
251,30,200,50,17
252,120,300,150,41
253,120,350,100,51
254,30,300,150,17
255,90,300,50,29
256,120,250,100,52
257,120,200,100,66
258,150,250,100,71
259,150,150,25,81
260,60,350,50,23
261,90,150,50,47
262,60,200,25,22
263,120,300,100,32
264,150,300,150,41
265,90,200,200,26
266,90,250,100,31
267,90,350,150,24
268,120,150,150,61
269,90,150,100,77
270,90,300,150,40
271,120,300,200,54
272,60,250,25,23
273,90,150,25,31
274,150,200,25,40
275,90,150,200,59
276,150,250,50,52
277,120,150,50,44
278,30,250,100,12
279,30,150,50,21
280,90,250,200,43
281,120,250,150,55
282,150,150,50,80
283,90,350,200,18
284,60,350,25,19
285,90,250,50,27
286,120,150,25,36
287,60,150,150,38
288,30,200,150,20
289,60,300,100,19
290,120,350,25,26
291,60,150,50,23
292,150,350,200,43
293,30,150,150,19
294,90,350,50,25
295,150,250,200,61
296,60,350,200,21
297,60,250,50,18
298,150,150,100,68
299,120,150,200,87
300,30,300,25,14
301,120,350,150,45
302,120,200,150,75
303,90,200,25,30
304,30,200,25,27
305,60,200,100,23
306,90,200,150,46
307,90,150,150,75
308,120,200,50,48
309,90,300,25,30
310,150,150,150,85
311,120,250,50,62
312,60,350,100,26
313,60,150,25,13
314,150,300,100,67
315,30,250,25,21
316,60,250,200,40
317,30,350,150,28
318,30,150,200,26
319,60,350,150,20
320,60,150,100,35
321,90,250,150,35
322,120,200,25,29
323,150,350,100,52
324,60,150,200,43
325,60,250,100,33
326,60,250,150,23
327,120,350,200,30
328,150,250,25,32
329,90,350,100,20
330,90,300,200,21
331,90,350,25,23
332,30,250,200,18
333,30,150,100,18
334,150,300,25,18
335,120,200,200,55
336,60,200,50,25
337,150,350,150,68
338,30,350,100,27
339,150,350,25,57
340,30,250,150,19
341,30,200,200,10
342,30,200,100,12
343,120,250,25,51
344,90,300,100,20
345,60,200,200,13
346,30,350,200,13
347,30,150,25,7
348,120,250,200,53
349,30,350,25,9
350,150,150,200,85
351,30,300,200,19
352,150,350,50,62
353,30,300,50,20
354,90,250,25,39
355,60,300,25,21
356,150,250,150,65
