trial,line_length,stim_radius,stim_period,rating
0,150,250,100,30
1,60,250,100,10
2,60,200,100,35
3,150,300,25,13
4,30,350,150,15
5,150,300,100,53
6,60,250,150,58
7,60,300,50,17
8,90,300,200,33
9,30,250,25,21
10,120,350,50,12
11,150,350,100,29
12,60,300,200,18
13,30,250,150,16
14,150,250,50,74
15,60,300,25,20
16,120,350,100,30
17,90,350,150,39
18,30,200,25,21
19,90,200,150,66
20,120,200,25,33
21,60,250,25,25
22,60,150,50,64
23,90,150,50,59
24,150,300,150,42
25,60,200,25,26
26,30,300,50,19
27,120,350,200,19
28,120,350,150,19
29,60,150,150,71
30,60,300,100,34
31,150,350,150,19
32,120,250,50,33
33,60,250,50,27
34,120,350,25,17
35,90,150,25,40
36,150,350,50,25
37,60,350,100,22
38,90,200,200,40
39,30,350,200,3
40,30,350,50,9
41,90,200,25,28
42,120,200,200,24
43,90,250,200,39
44,150,250,200,61
45,120,300,100,45
46,150,150,200,88
47,30,200,150,11
48,60,350,25,11
49,120,250,25,15
50,30,300,150,18
51,60,200,150,68
52,120,250,100,60
53,60,350,50,20
54,150,150,100,95
55,150,200,50,84
56,90,350,50,37
57,90,150,150,50
58,150,200,100,62
59,90,150,200,65
60,90,200,50,50
61,120,150,50,66
62,90,250,50,40
63,30,150,200,23
64,30,150,150,21
65,60,200,200,16
66,60,150,25,20
67,60,150,200,73
68,30,300,100,2
69,120,250,150,67
70,150,200,25,42
71,150,200,200,68
72,120,200,50,52
73,150,250,25,18
74,120,250,200,25
75,30,200,100,24
76,30,350,100,9
77,30,150,25,15
78,30,300,25,7
79,120,150,100,83
80,150,300,200,69
81,90,300,50,16
82,90,350,100,12
83,30,200,50,9
84,90,200,100,77
85,90,150,100,80
86,150,250,150,70
87,150,350,200,74
88,120,300,150,19
89,120,300,200,30
90,120,300,25,24
91,150,300,50,39
92,120,150,150,88
93,150,350,25,25
94,30,150,50,12
95,30,300,200,27
96,120,200,150,78
97,90,250,25,30
98,60,350,150,14
99,120,300,50,20
100,90,350,200,10
101,30,250,200,26
102,30,350,25,9
103,150,200,150,74
104,90,250,100,55
105,90,300,100,19
106,30,200,200,11
107,60,200,50,12
108,150,150,50,90
109,30,250,50,13
110,120,150,25,95
111,150,150,150,82
112,60,300,150,7
113,120,150,200,76
114,90,300,150,29
115,60,250,200,9
116,90,250,150,35
117,60,350,200,7
118,90,350,25,7
119,90,300,25,9
120,120,200,100,73
121,30,150,100,33
122,30,250,100,11
123,60,150,100,52
124,150,150,25,65
125,90,200,200,40
126,120,150,200,56
127,90,350,100,12
128,150,200,50,43
129,60,150,200,68
130,60,350,50,7
131,30,300,100,9
132,60,300,200,15
133,60,350,200,9
134,120,200,25,16
135,90,300,150,25
136,60,250,100,21
137,120,200,100,55
138,120,350,200,11
139,30,350,50,16
140,120,150,150,73
141,120,300,25,10
142,60,250,200,16
143,60,150,100,22
144,30,300,50,7
145,60,250,150,18
146,90,350,200,21
147,30,350,100,6
148,60,200,25,10
149,30,150,100,44
150,120,250,150,39
151,30,150,200,32
152,120,250,50,27
153,60,300,150,14
154,150,350,150,21
155,90,150,200,58
156,90,250,50,21
157,30,150,50,19
158,150,150,50,82
159,60,350,25,29
160,90,300,25,12
161,90,250,25,14
162,60,250,50,17
163,120,350,50,22
164,30,150,25,18
165,150,200,100,21
166,30,200,50,20
167,120,250,100,26
168,90,250,150,24
169,60,300,100,16
170,150,300,50,33
171,60,200,150,28
172,90,150,150,67
173,150,200,200,53
174,150,350,50,35
175,90,200,100,53
176,150,250,100,49
177,30,300,150,30
178,150,250,200,46
179,30,350,25,4
180,150,250,25,23
181,30,300,200,7
182,90,150,50,62
183,120,150,50,63
184,90,300,100,39
185,150,350,25,11
186,150,250,50,27
187,90,200,150,35
188,120,150,25,16
189,150,250,150,18
190,30,250,25,6
191,30,200,200,9
192,120,250,25,18
193,90,200,50,26
194,120,350,100,21
195,30,250,100,24
196,120,200,200,51
197,30,150,150,16
198,60,150,50,41
199,90,350,50,11
200,150,300,200,48
201,150,200,150,54
202,60,150,25,17
203,90,300,50,8
204,150,150,200,75
205,90,150,100,57
206,120,350,25,12
207,90,350,25,12
208,150,300,100,39
209,60,150,150,26
210,120,350,150,20
211,60,300,50,13
212,30,350,150,5
213,90,250,100,11
214,90,300,200,9
215,60,350,150,17
216,60,200,200,18
217,60,350,100,12
218,150,300,150,29
219,90,350,150,8
220,30,250,200,7
221,60,250,25,12
222,90,250,200,34
223,30,300,25,5
224,30,350,200,15
225,150,300,25,30
226,120,150,100,76
227,120,300,150,35
228,90,200,25,44
229,60,200,100,30
230,60,300,25,12
231,120,200,50,42
232,150,150,150,68
233,150,150,25,70
234,150,150,100,61
235,30,200,100,9
236,150,350,100,42
237,60,200,50,14
238,120,200,150,26
239,30,200,150,18
240,30,250,150,7
241,120,300,100,36
242,90,150,25,63
243,120,250,200,48
244,30,200,25,6
245,150,200,25,29
246,30,250,50,41
247,150,350,200,24
248,120,300,50,44
249,120,300,200,35
250,150,300,50,39
251,150,350,100,22
252,90,200,200,24
253,60,350,100,22
254,150,150,25,63
255,150,300,150,43
256,60,300,150,20
257,60,200,100,48
258,120,200,25,44
259,60,200,200,34
260,150,250,25,44
261,90,300,50,39
262,90,300,200,31
263,150,250,100,24
264,120,350,25,19
265,150,300,100,22
266,120,350,200,18
267,120,150,200,56
268,30,200,25,9
269,120,150,25,64
270,150,200,25,57
271,60,250,50,11
272,150,150,50,66
273,90,250,150,20
274,90,200,50,42
275,30,300,150,11
276,90,350,25,13
277,30,300,200,38
278,90,150,100,62
279,60,200,150,27
280,150,250,150,33
281,30,200,150,12
282,60,350,150,19
283,60,250,200,12
284,150,350,150,14
285,150,350,25,14
286,150,150,200,76
287,150,200,50,73
288,30,250,25,13
289,120,250,200,26
290,120,200,100,68
291,90,250,25,17
292,120,350,50,37
293,60,300,200,12
294,30,150,50,22
295,90,350,150,17
296,60,350,25,13
