trial,line_length,stim_radius,stim_period,rating
0,90,350,25,9
1,60,250,200,16
2,90,250,100,27
3,120,200,200,37
4,60,350,100,6
5,30,200,100,10
6,90,250,150,45
7,120,250,150,56
8,90,200,50,70
9,60,350,50,10
10,90,350,150,33
11,150,150,200,100
12,120,200,150,88
13,150,350,200,57
14,30,250,25,11
15,150,250,200,53
16,150,200,150,78
17,60,250,25,11
18,30,200,200,5
19,150,200,25,100
20,150,150,150,95
21,60,200,25,90
22,90,150,100,81
23,30,300,200,4
24,60,300,200,4
25,60,250,150,9
26,120,250,50,29
27,60,150,150,40
28,30,150,50,6
29,60,200,200,35
30,120,250,100,52
31,120,150,50,76
32,150,350,150,67
33,90,300,200,50
34,60,350,150,23
35,60,200,100,52
36,60,300,100,15
37,90,300,50,29
38,60,250,50,11
39,30,250,50,2
40,120,300,50,29
41,30,150,100,2
42,120,150,100,83
43,30,200,50,8
44,90,200,25,54
45,30,300,100,3
46,60,150,200,59
47,150,350,100,73
48,30,300,25,9
49,150,250,100,73
50,120,300,100,67
51,60,250,100,49
52,30,300,150,4
53,150,300,200,65
54,150,150,50,94
55,90,300,150,33
56,60,150,25,96
57,30,150,150,6
58,150,200,100,50
59,60,150,100,71
60,150,300,150,61
61,30,200,25,25
62,120,250,25,45
63,30,150,25,62
64,120,350,150,8
65,150,200,50,59
66,150,250,25,75
67,30,150,200,2
68,60,300,50,3
69,30,200,150,9
70,150,250,50,44
71,120,300,25,43
72,120,300,150,53
73,30,250,200,6
74,150,300,25,21
75,30,350,150,5
76,120,350,100,46
77,120,150,150,87
78,150,300,50,57
79,150,350,50,80
80,90,150,25,92
81,60,350,25,17
82,30,350,25,5
83,150,350,25,61
84,120,200,50,83
85,120,150,200,91
86,30,350,100,5
87,60,150,50,54
88,90,200,100,54
89,90,300,100,34
90,120,200,100,51
91,120,150,25,92
92,30,300,50,16
93,150,250,150,60
94,90,200,200,54
95,90,250,25,64
96,120,350,25,59
97,90,350,50,20
98,150,150,100,78
99,60,300,150,8
100,30,350,50,8
101,150,150,25,89
102,30,250,150,5
103,90,200,150,70
104,150,200,200,72
105,30,250,100,6
106,90,300,25,8
107,30,350,200,3
108,90,250,200,51
109,90,150,200,65
110,90,250,50,42
111,120,200,25,63
112,150,300,100,59
113,120,350,50,40
114,60,350,200,9
115,90,350,200,20
116,120,300,200,27
117,60,200,50,10
118,60,200,150,34
119,60,300,25,4
120,120,350,200,30
121,120,250,200,52
122,90,350,100,24
123,90,150,50,67
124,90,150,150,77
125,60,350,25,9
126,60,200,50,20
127,120,200,150,43
128,30,200,50,12
129,90,350,100,19
130,30,150,200,6
131,90,350,25,6
132,30,350,50,4
133,90,350,50,15
134,150,150,50,88
135,60,150,50,73
136,60,150,200,79
137,120,200,25,72
138,60,200,150,53
139,60,350,50,6
140,90,300,200,21
141,90,350,200,24
142,150,250,200,64
143,60,150,150,76
144,120,200,100,80
145,120,350,25,65
146,120,300,100,79
147,120,150,25,45
148,150,200,100,69
149,150,350,200,25
150,60,250,100,25
151,150,350,100,28
152,90,150,150,68
153,90,200,100,73
154,30,150,25,74
155,90,200,25,66
156,120,250,25,52
157,150,150,200,86
158,150,250,100,66
159,150,200,50,82
160,60,350,100,9
161,120,150,200,88
162,150,300,25,28
163,150,350,25,41
164,60,200,100,9
165,90,300,100,24
166,150,350,150,36
167,90,250,150,29
168,90,200,200,53
169,60,300,200,6
170,60,200,25,53
171,120,200,50,60
172,120,250,50,61
173,60,200,200,50
174,60,300,25,18
175,60,250,50,23
176,30,200,200,4
177,150,300,100,25
178,30,200,150,4
179,120,350,50,10
180,30,150,50,5
181,90,250,25,43
182,90,350,150,16
183,90,200,150,46
184,120,250,150,60
185,90,150,200,69
186,90,150,25,62
187,30,150,100,4
188,150,300,150,40
189,30,200,25,5
190,30,250,100,3
191,120,150,50,96
192,150,300,50,63
193,30,250,150,5
194,60,350,150,3
195,150,250,150,52
196,150,150,25,73
197,90,150,100,80
198,120,150,100,94
199,120,300,25,36
200,150,300,200,54
201,90,300,50,11
202,30,300,150,3
203,120,300,200,26
204,30,300,25,3
205,150,150,100,94
206,60,300,100,15
207,120,250,100,29
208,30,150,150,6
209,150,250,50,38
210,60,250,25,6
211,120,300,150,33
212,90,300,25,14
213,90,200,50,46
214,30,350,100,5
215,30,300,200,5
216,120,300,50,26
217,150,150,150,63
218,150,200,200,75
219,30,350,200,5
220,120,350,150,28
221,60,150,100,60
222,60,150,25,80
223,90,250,50,25
224,60,250,150,19
225,60,250,200,2
226,90,300,150,14
227,30,350,150,1
228,120,350,200,14
229,150,200,25,67
230,120,350,100,17
231,150,350,50,19
232,30,250,50,2
233,120,150,150,85
234,120,250,200,32
235,60,300,150,11
236,150,250,25,28
237,30,350,25,2
238,30,300,100,2
239,30,250,200,2
240,90,250,100,26
241,90,250,200,40
242,30,250,25,1
243,90,150,50,37
244,60,300,50,9
245,60,350,200,10
246,30,300,50,1
247,120,200,200,60
248,30,200,100,1
249,150,200,150,46
250,120,250,100,38
251,60,200,200,24
252,60,250,150,20
253,150,300,25,36
254,60,250,25,9
255,60,150,200,75
256,120,200,200,84
257,60,300,200,29
258,120,300,100,47
259,30,250,150,3
260,150,350,150,7
261,90,300,100,12
262,120,300,150,33
263,90,250,200,28
264,150,350,100,12
265,120,200,100,53
266,60,150,25,69
267,90,300,200,41
268,120,150,50,84
269,90,150,50,77
270,120,250,200,62
271,150,300,50,38
272,150,150,25,61
273,60,150,50,44
274,90,200,200,43
275,60,300,150,23
276,120,150,25,63
277,30,350,25,3
278,150,250,150,53
279,30,250,50,4
280,120,350,100,25
281,60,300,50,7
282,60,300,25,12
283,150,250,25,48
284,150,200,150,53
285,150,350,200,45
286,150,200,100,70
287,90,250,100,55
288,120,350,150,40
289,90,300,150,19
290,90,150,25,63
291,150,250,50,43
292,30,350,200,4
293,150,350,50,27
294,60,250,200,14
295,120,150,100,93
296,120,250,25,60
297,30,150,25,82
298,90,150,100,62
299,150,200,50,69
300,150,300,100,53
301,60,150,100,67
302,150,350,25,53
303,30,350,50,2
304,30,200,150,7
305,30,200,25,3
306,60,350,25,3
