trial,line_length,stim_radius,stim_period,rating
0,150,350,150,41
1,120,300,25,44
2,60,250,50,7
3,120,300,50,8
4,120,350,50,11
5,150,250,100,9
6,30,300,25,8
7,150,350,50,2
8,60,200,25,19
9,60,350,25,16
10,90,200,100,12
11,60,350,200,5
12,30,350,150,5
13,30,200,50,6
14,60,300,25,5
15,30,350,200,4
16,150,250,50,5
17,30,250,25,5
18,90,250,200,4
19,30,250,100,5
20,150,300,150,6
21,120,350,100,5
22,60,150,150,5
23,90,350,200,3
24,120,150,100,5
25,90,200,50,6
26,60,250,25,4
27,120,150,150,4
28,90,150,50,3
29,120,300,150,4
30,90,300,25,3
31,60,300,100,4
32,150,350,100,4
33,120,300,100,5
34,150,200,50,4
35,30,250,50,4
36,120,250,50,4
37,30,150,25,5
38,90,300,50,6
39,30,150,150,0
40,60,150,50,1
41,90,250,100,2
42,150,150,100,0
43,60,200,200,2
44,30,250,150,2
45,30,350,50,1
46,150,150,50,1
47,150,350,200,2
48,150,150,25,2
49,60,250,200,2
50,30,200,150,1
51,90,200,200,1
52,120,250,100,1
53,150,300,100,2
54,60,350,150,2
55,120,350,25,2
56,90,350,25,2
57,120,150,25,1
58,30,300,200,2
59,150,200,25,2
60,60,150,200,2
61,60,250,100,2
62,60,350,100,1
63,150,250,200,1
64,120,250,25,2
65,120,200,50,1
66,90,250,25,2
67,120,150,200,2
68,150,200,100,1
69,150,250,25,2
70,150,200,200,2
71,120,250,150,2
72,60,300,50,2
73,30,150,50,2
74,120,250,200,3
75,30,200,200,3
76,120,200,150,4
77,60,150,100,4
78,30,350,100,28
79,150,300,200,7
80,30,150,200,5
81,60,300,200,5
82,30,200,100,4
83,60,350,50,22
84,90,250,50,28
85,30,300,50,19
86,120,300,200,3
87,30,250,200,6
88,90,350,50,8
89,90,350,100,5
90,90,150,25,74
91,30,350,25,38
92,120,200,200,14
93,90,350,150,7
94,30,200,25,26
95,150,350,25,48
96,60,200,100,23
97,90,300,200,10
98,60,300,150,9
99,120,150,50,16
100,90,200,25,13
101,120,350,200,12
102,150,150,150,19
103,60,250,150,11
104,30,150,100,14
105,150,250,150,29
106,150,150,200,21
107,90,150,200,21
108,90,150,100,27
109,120,200,25,30
110,150,300,25,33
111,60,200,150,21
112,120,350,150,12
113,30,300,100,2
114,90,250,150,4
115,90,300,150,6
116,90,200,150,11
117,120,200,100,13
118,150,300,50,13
119,60,150,25,38
120,90,150,150,40
121,30,300,150,23
122,60,200,50,22
123,90,300,100,20
124,150,200,150,21
125,60,300,100,4
126,150,350,200,4
127,120,250,25,4
128,150,300,50,3
129,90,200,100,3
130,90,350,25,3
131,90,250,50,4
132,60,200,150,5
133,30,150,200,3
134,150,200,25,4
135,150,150,25,3
136,150,200,50,4
137,120,150,150,4
138,30,200,50,3
139,120,300,25,3
140,30,250,50,3
141,150,300,25,3
142,150,250,25,3
143,90,300,100,3
144,30,150,50,3
145,150,300,100,2
146,90,300,25,2
147,150,350,150,3
148,90,300,50,3
149,60,250,50,3
150,90,150,100,3
151,150,350,25,7
152,120,300,100,10
153,120,250,150,5
154,60,150,50,3
155,120,350,200,11
156,90,300,200,6
157,90,200,200,8
158,120,300,150,8
159,150,150,150,7
160,150,250,150,5
161,90,250,25,6
162,30,150,100,6
163,30,350,150,5
164,150,250,100,9
165,120,200,50,16
166,90,300,150,14
167,60,200,100,16
168,90,150,200,9
169,90,250,150,7
170,60,200,200,6
171,90,250,100,7
172,150,350,100,5
173,150,300,150,6
174,30,350,50,5
175,120,200,150,6
176,60,200,25,9
177,90,350,50,9
178,60,250,25,7
179,150,200,150,8
180,30,350,200,6
181,30,200,200,6
182,30,300,150,7
183,150,250,50,23
184,120,250,100,19
185,150,150,200,16
186,150,150,50,9
187,120,300,50,12
188,60,350,25,7
189,120,150,50,12
190,150,200,100,11
191,150,200,200,9
192,90,350,100,9
193,60,250,150,11
194,60,300,50,8
195,60,350,50,9
196,90,200,25,10
197,120,300,200,7
198,30,350,25,5
199,120,350,100,5
200,60,150,200,9
201,120,150,100,6
202,30,250,200,4
203,30,350,100,5
204,30,250,100,5
205,60,250,100,7
206,60,350,200,6
207,60,200,50,4
208,120,350,150,5
209,150,350,50,5
210,120,350,25,7
211,90,350,200,5
212,90,150,50,5
213,90,150,150,5
214,30,300,100,5
215,60,300,150,6
216,30,150,25,5
217,30,300,50,7
218,120,200,25,7
219,90,250,200,5
220,150,250,200,5
221,120,200,100,5
222,60,300,25,5
223,90,150,25,25
224,30,200,100,12
225,60,150,150,17
226,60,350,150,11
227,120,150,200,10
228,30,150,150,11
229,120,250,50,9
230,90,350,150,11
231,60,300,200,9
232,90,200,150,8
233,60,350,100,6
234,150,300,200,5
235,150,150,100,26
236,30,250,25,12
237,30,300,200,11
238,30,300,25,10
239,60,250,200,10
240,120,150,25,13
241,120,200,200,8
242,120,350,50,19
243,30,200,25,14
244,60,150,25,18
245,60,150,100,13
246,30,200,150,15
247,90,200,50,17
248,120,250,200,14
249,30,250,150,11
250,60,250,25,8
251,60,150,200,16
252,120,250,200,11
253,90,300,150,12
254,60,300,200,12
255,60,350,200,12
256,90,250,25,0
257,60,250,50,5
258,90,350,100,8
259,150,250,50,12
260,120,250,50,10
261,30,150,100,8
262,120,350,100,13
263,120,350,200,9
264,90,300,100,8
265,150,150,100,9
266,150,350,150,9
267,150,350,25,8
268,150,250,25,0
269,150,300,100,4
270,90,200,100,4
271,150,350,100,4
272,60,150,50,4
273,30,300,25,7
274,150,200,100,8
275,30,200,100,6
276,120,300,50,6
277,150,200,25,0
278,60,300,150,1
279,90,150,100,0
280,150,300,150,1
