trial,line_length,line_angle,stim_radius,stim_period,rating
0,220,48,225,100,39
1,180,48,225,100,48
2,40,48,225,100,59
3,80,48,225,100,49
4,100,48,225,100,70
5,200,48,225,100,52
6,140,48,225,100,48
7,160,48,225,100,52
8,120,48,225,100,61
9,60,48,225,100,58
10,200,48,225,100,50
11,160,48,225,100,55
12,100,48,225,100,69
13,180,48,225,100,57
14,220,48,225,100,50
15,60,48,225,100,75
16,40,48,225,100,78
17,80,48,225,100,73
18,120,48,225,100,72
19,140,48,225,100,56
20,200,48,225,100,50
21,40,48,225,100,73
22,60,48,225,100,70
23,180,48,225,100,60
24,100,48,225,100,54
25,80,48,225,100,61
26,220,48,225,100,56
27,140,48,225,100,53
28,120,48,225,100,61
29,160,48,225,100,57
30,40,64,225,100,53
31,40,24,225,100,51
32,40,32,225,100,67
33,40,72,225,100,77
34,40,48,225,100,78
35,40,56,225,100,59
36,40,80,225,100,54
37,40,16,225,100,51
38,40,8,225,100,57
39,40,40,225,100,64
40,40,8,225,100,57
41,40,80,225,100,58
42,40,32,225,100,49
43,40,72,225,100,31
44,40,24,225,100,43
45,40,40,225,100,46
46,40,64,225,100,68
47,40,48,225,100,50
48,40,16,225,100,44
49,40,56,225,100,58
50,40,72,225,100,70
51,40,80,225,100,74
52,40,24,225,100,56
53,40,8,225,100,66
54,40,32,225,100,61
55,40,64,225,100,64
56,40,16,225,100,47
57,40,40,225,100,33
58,40,48,225,100,44
59,40,56,225,100,35
60,40,80,250,100,73
61,40,80,100,100,75
62,40,80,310,100,77
63,40,80,160,100,34
64,40,80,130,100,36
65,40,80,190,100,39
66,40,80,370,100,42
67,40,80,340,100,43
68,40,80,280,100,45
69,40,80,220,100,47
70,40,80,190,100,48
71,40,80,340,100,51
72,40,80,310,100,52
73,40,80,100,100,54
74,40,80,220,100,56
75,40,80,250,100,58
76,40,80,370,100,60
77,40,80,160,100,62
78,40,80,130,100,63
79,40,80,280,100,65
80,40,80,100,100,67
81,40,80,280,100,69
82,40,80,220,100,27
83,40,80,250,100,28
84,40,80,190,100,29
85,40,80,130,100,31
86,40,80,310,100,33
87,40,80,160,100,34
88,40,80,370,100,35
89,40,80,340,100,36
90,40,80,100,80,62
91,40,80,100,60,65
92,40,80,100,130,67
93,40,80,100,100,70
94,40,80,100,90,69
95,40,80,100,50,68
96,40,80,100,110,70
97,40,80,100,70,71
98,40,80,100,140,72
99,40,80,100,120,74
100,40,80,100,120,76
101,40,80,100,110,79
102,40,80,100,80,82
103,40,80,100,50,84
104,40,80,100,70,15
105,40,80,100,100,18
106,40,80,100,130,19
107,40,80,100,140,21
108,40,80,100,60,22
109,40,80,100,90,23
110,40,80,100,90,25
111,40,80,100,120,27
112,40,80,100,50,28
113,40,80,100,100,34
114,40,80,100,70,36
115,40,80,100,110,38
116,40,80,100,130,41
117,40,80,100,140,44
118,40,80,100,80,46
119,40,80,100,60,54
