trial,line_length,stim_radius,stim_period,rating
0,60,250,50,69
1,150,350,100,51
2,120,300,200,35
3,60,350,25,75
4,120,350,100,60
5,120,350,25,79
6,30,300,150,19
7,150,300,200,9
8,30,350,100,13
9,90,350,100,16
10,90,250,100,12
11,120,150,100,49
12,90,250,150,48
13,30,200,50,63
14,150,350,50,72
15,150,200,50,72
16,60,150,50,72
17,60,350,200,3
18,60,200,150,10
19,60,300,50,52
20,90,300,50,70
21,120,350,150,38
22,60,200,100,51
23,30,150,150,49
24,90,200,50,67
25,30,150,100,51
26,120,200,50,76
27,90,350,25,84
28,30,250,50,62
29,30,150,25,87
30,30,150,50,68
31,60,250,200,32
32,90,150,50,64
33,30,250,200,12
34,60,150,25,84
35,150,300,100,29
36,90,350,200,7
37,150,300,25,80
38,120,250,25,76
39,30,350,150,14
40,150,250,50,68
41,60,200,25,89
42,30,300,100,61
43,120,200,200,35
44,150,150,25,93
45,120,200,25,89
46,150,250,25,93
47,90,250,50,63
48,60,350,100,62
49,90,200,100,60
50,60,300,100,51
51,90,150,150,62
52,90,300,100,58
53,30,300,25,93
54,30,250,150,51
55,90,200,200,29
56,120,350,50,71
57,120,150,200,28
58,60,150,150,32
59,60,250,25,76
60,150,150,50,76
61,120,300,25,82
62,90,300,25,90
63,120,200,100,73
64,120,250,200,49
65,90,200,25,82
66,30,350,50,66
67,90,350,50,65
68,60,300,150,29
69,150,150,150,28
70,120,300,100,29
71,60,250,150,14
72,30,250,25,67
73,120,250,100,55
74,90,150,25,91
75,150,250,150,44
76,30,200,100,51
77,150,300,50,65
78,60,350,50,63
79,150,350,150,60
80,150,250,200,30
81,90,250,25,72
82,120,250,150,57
83,150,200,200,50
84,60,250,100,58
85,60,150,100,61
86,30,250,100,66
87,60,350,150,37
88,150,200,25,92
89,90,150,100,59
90,30,200,150,56
91,150,200,150,64
92,90,350,150,52
93,150,150,200,56
94,90,300,150,55
95,90,250,200,57
96,150,350,200,36
97,90,200,150,31
98,60,200,200,24
99,120,250,50,60
100,120,150,150,49
101,30,150,200,29
102,60,200,50,64
103,90,300,200,25
104,30,200,25,71
105,150,300,150,52
106,30,300,50,67
107,150,350,25,88
108,120,300,150,62
109,150,200,100,67
110,120,150,25,93
111,120,150,50,81
112,60,150,200,68
113,120,200,150,65
114,30,350,25,87
115,30,200,200,47
116,60,300,200,63
117,90,150,200,50
118,150,250,100,62
119,120,350,200,28
120,60,300,25,68
121,30,350,200,31
122,30,300,200,20
123,120,300,50,64
124,150,150,100,71
125,120,350,150,49
126,150,200,150,62
127,120,350,50,71
128,150,250,150,60
129,30,200,50,74
130,120,150,100,68
131,150,150,100,72
132,120,200,50,82
133,90,150,100,75
134,30,200,150,63
135,30,300,150,9
136,30,150,200,14
137,150,350,150,20
138,30,250,200,11
139,150,300,200,14
140,150,150,200,11
141,90,350,25,94
142,30,350,200,9
143,90,250,100,59
144,60,350,150,26
145,90,300,50,63
146,120,150,200,19
147,90,150,200,12
148,30,200,100,62
149,90,250,25,80
150,30,300,50,68
151,120,250,25,89
152,60,200,100,67
153,120,200,100,34
154,120,300,200,6
155,150,300,100,8
156,150,150,25,95
157,90,300,200,13
158,90,300,25,91
159,30,150,100,52
160,90,300,150,9
161,60,350,100,20
162,90,150,25,96
163,120,350,25,73
164,60,200,200,16
165,90,200,150,24
166,150,200,200,23
167,30,250,100,30
168,30,250,25,69
169,60,200,50,57
170,60,250,50,65
171,150,150,50,72
172,60,350,200,13
173,30,200,200,11
174,150,200,50,66
175,120,300,150,27
176,60,350,25,92
177,90,250,50,71
178,150,350,25,95
179,90,300,100,62
180,90,200,100,66
181,150,250,200,30
182,120,200,25,93
183,60,300,200,19
184,90,250,200,22
185,60,200,150,65
186,60,250,100,60
187,30,350,50,63
188,60,300,100,61
189,30,350,150,52
190,150,300,25,95
191,60,350,50,64
192,90,350,200,58
193,120,150,50,76
194,90,350,50,65
195,30,150,150,57
196,60,150,50,72
197,90,200,50,64
198,60,250,150,48
199,150,200,100,34
200,120,150,25,85
201,60,250,200,27
202,90,150,50,71
203,60,150,25,93
204,60,150,200,37
205,60,200,25,84
206,120,250,200,27
207,150,300,50,65
208,150,150,150,59
209,120,300,50,81
210,30,350,25,86
211,120,200,150,48
212,150,200,25,87
213,150,350,50,72
214,120,350,100,65
215,150,300,150,55
216,60,250,25,79
217,60,150,150,53
218,90,200,25,84
219,150,250,50,66
220,60,300,150,42
221,30,150,25,76
222,30,150,50,57
223,90,200,200,32
224,120,300,25,75
225,120,150,150,60
226,60,300,50,70
227,90,350,150,57
228,120,250,150,58
229,150,350,100,59
230,30,250,50,60
231,60,150,100,59
232,150,250,25,87
233,90,350,100,60
234,120,200,200,57
235,150,350,200,33
236,30,200,25,87
237,30,300,200,33
238,30,250,150,32
239,120,250,100,65
240,120,300,100,62
241,30,300,25,74
242,120,250,50,71
243,150,250,100,64
244,30,350,100,71
245,30,300,100,71
246,120,350,200,42
247,90,250,150,56
248,60,300,25,86
249,90,150,150,62
250,150,300,100,59
251,90,150,100,65
252,90,300,25,91
253,150,350,100,59
254,30,150,200,44
255,120,350,25,90
256,150,150,150,41
257,30,250,50,68
258,30,150,100,70
259,150,300,50,71
260,60,250,25,91
261,150,200,150,56
262,30,250,150,40
263,30,350,50,70
264,60,300,200,19
265,60,200,25,96
266,150,150,25,100
267,90,200,50,63
268,30,300,25,77
269,60,250,150,65
270,30,350,150,49
271,60,200,200,33
272,60,350,25,76
273,120,250,200,46
274,120,300,100,68
275,30,250,100,64
276,150,200,50,76
277,60,150,150,74
278,90,150,200,61
279,90,350,25,86
280,90,350,200,38
281,90,150,150,62
282,120,150,25,94
283,150,150,50,76
284,60,300,100,67
285,30,200,150,60
286,120,200,50,71
287,120,350,50,72
288,60,300,50,82
289,60,350,150,46
290,90,150,50,73
291,30,300,200,43
292,120,200,100,67
293,120,350,150,62
294,150,300,25,83
295,150,200,100,63
296,150,150,100,77
297,60,150,25,88
298,150,300,200,60
299,60,250,50,73
300,150,150,200,56
301,90,200,100,69
302,30,200,100,68
303,90,350,50,79
304,120,250,150,63
305,30,150,25,88
306,150,250,200,53
307,120,150,200,42
308,120,250,100,63
309,60,150,50,73
310,30,150,150,61
311,60,300,150,57
312,150,250,150,55
313,90,250,150,57
314,30,350,100,65
315,30,350,25,80
316,120,300,150,66
317,120,300,50,71
318,120,200,25,87
319,120,300,200,34
320,60,150,100,65
321,30,200,200,66
322,90,200,25,85
323,150,350,50,70
324,120,350,200,51
325,150,250,25,84
326,30,300,100,65
327,90,300,50,75
328,120,200,200,55
329,90,150,25,87
330,90,200,200,58
331,120,150,150,62
332,60,200,100,73
333,120,250,50,80
334,90,250,200,54
335,30,300,50,69
336,120,150,50,77
337,150,250,50,80
338,90,300,150,59
339,30,150,50,76
340,120,250,25,85
341,60,350,100,66
342,30,250,25,79
343,150,350,150,57
344,30,200,50,63
345,60,350,50,71
346,90,250,25,87
347,30,200,25,75
348,90,300,100,63
349,60,250,200,52
350,90,250,50,60
351,30,350,200,62
352,120,150,100,70
353,90,350,150,57
354,60,200,50,66
355,60,300,25,83
356,150,200,200,51
357,120,350,100,64
358,60,150,200,52
359,90,350,100,57
360,90,250,100,65
361,60,200,150,60
362,60,250,100,70
363,120,200,150,61
364,150,300,150,62
365,150,350,200,52
366,150,250,100,62
367,90,300,200,53
368,150,350,25,86
369,90,200,150,61
370,30,300,150,62
371,150,200,25,86
372,30,250,200,62
373,120,300,25,80
374,60,350,200,66
