trial,line_length,stim_radius,stim_period,rating
0,60,150,100,52
1,60,300,150,26
2,30,300,100,23
3,120,350,50,48
4,90,200,150,24
5,90,150,150,16
6,90,150,100,39
7,120,150,200,30
8,150,300,150,43
9,60,350,150,25
10,60,150,50,74
11,30,200,25,80
12,60,250,100,28
13,30,250,200,12
14,150,200,100,11
15,30,200,100,13
16,90,250,25,72
17,120,250,100,56
18,90,250,200,23
19,30,250,50,52
20,90,350,150,25
21,60,150,200,21
22,150,150,50,50
23,30,250,100,30
24,120,150,50,71
25,30,300,200,16
26,60,300,200,24
27,150,200,150,25
28,90,250,100,55
29,30,150,200,19
30,120,300,100,37
31,30,150,150,23
32,120,250,200,19
33,30,300,25,65
34,30,350,25,84
35,120,250,150,33
36,90,200,100,49
37,150,350,25,67
38,30,350,150,20
39,90,150,200,30
40,60,150,25,84
41,30,200,50,52
42,90,200,200,22
43,90,350,100,69
44,150,350,50,72
45,60,300,100,32
46,150,200,200,26
47,30,350,100,30
48,30,200,200,18
49,30,350,50,24
50,120,150,25,79
51,90,350,50,71
52,60,300,50,70
53,150,200,25,98
54,150,300,200,30
55,120,300,50,68
56,90,300,50,28
57,150,300,100,10
58,60,350,100,4
59,30,150,100,7
60,60,200,150,3
61,60,350,200,1
62,120,200,25,67
63,60,350,50,59
64,150,150,100,23
65,120,200,100,21
66,120,250,25,71
67,120,350,150,34
68,150,250,100,45
69,90,250,50,53
70,90,150,25,96
71,90,250,150,19
72,120,150,100,26
73,150,300,25,57
74,60,350,25,75
75,120,300,200,13
76,30,350,200,9
77,150,350,150,15
78,120,300,150,19
79,90,300,25,68
80,30,150,25,91
81,90,300,200,14
82,120,200,50,75
83,60,250,150,97
84,90,300,150,14
85,60,250,50,30
86,120,200,200,18
87,150,200,50,38
88,150,250,25,82
89,60,300,25,86
90,60,200,200,13
91,90,200,50,27
92,60,200,50,29
93,30,300,150,10
94,150,350,200,9
95,120,150,150,12
96,90,300,100,32
97,150,350,100,29
98,120,250,50,48
99,120,200,150,17
100,90,150,50,69
101,30,250,150,18
102,60,200,25,72
103,150,150,200,15
104,30,200,150,12
105,120,350,100,26
106,60,150,150,38
107,30,300,50,28
108,60,250,200,15
109,150,250,150,20
110,150,150,150,12
111,60,250,25,75
112,150,250,200,13
113,30,150,50,43
