trial,line_length,line_angle,stim_radius,stim_period,rating
0,160,48,220,108,28
1,40,48,220,108,3
2,120,48,220,108,11
3,140,48,220,108,31
4,200,48,220,108,47
5,80,48,220,108,0
6,100,48,220,108,21
7,60,48,220,108,3
8,180,48,220,108,64
9,220,48,220,108,91
10,180,48,220,108,84
11,80,48,220,108,25
12,220,48,220,108,92
13,160,48,220,108,74
14,140,48,220,108,59
15,120,48,220,108,69
16,200,48,220,108,98
17,100,48,220,108,93
18,60,48,220,108,4
19,40,48,220,108,8
20,40,48,220,108,0
21,100,48,220,108,22
22,60,48,220,108,15
23,80,48,220,108,22
24,180,48,220,108,72
25,120,48,220,108,55
26,200,48,220,108,100
27,140,48,220,108,78
28,220,48,220,108,97
29,160,48,220,108,100
30,80,48,220,108,28
31,40,48,220,108,3
32,200,48,220,108,73
33,180,48,220,108,100
34,120,48,220,108,100
35,220,48,220,108,65
36,60,48,220,108,2
37,140,48,220,108,50
38,100,48,220,108,42
39,160,48,220,108,97
40,140,48,220,108,100
41,180,48,220,108,100
42,220,48,220,108,93
43,80,48,220,108,11
44,100,48,220,108,32
45,160,48,220,108,78
46,60,48,220,108,26
47,120,48,220,108,31
48,40,48,220,108,5
49,200,48,220,108,81
50,220,48,220,108,88
51,160,48,220,108,88
52,80,48,220,108,35
53,60,48,220,108,0
54,40,48,220,108,0
55,100,48,220,108,19
56,200,48,220,108,42
57,140,48,220,108,69
58,180,48,220,108,93
59,120,48,220,108,97
60,120,48,220,108,100
61,100,48,220,108,93
62,60,48,220,108,7
63,80,48,220,108,10
64,140,48,220,108,59
65,160,48,220,108,65
66,220,48,220,108,100
67,180,48,220,108,91
68,200,48,220,108,93
69,40,48,220,108,2
70,220,48,220,108,72
71,100,48,220,108,36
72,140,48,220,108,82
73,40,48,220,108,6
74,200,48,220,108,94
75,60,48,220,108,10
76,120,48,220,108,67
77,80,48,220,108,43
78,180,48,220,108,76
79,160,48,220,108,86
80,180,48,220,108,92
81,60,48,220,108,8
82,80,48,220,108,90
83,140,48,220,108,95
84,200,48,220,108,100
85,160,48,220,108,100
86,220,48,220,108,100
87,100,48,220,108,77
88,40,48,220,108,8
89,120,48,220,108,36
90,80,48,220,108,11
91,60,48,220,108,46
92,140,48,220,108,69
93,120,48,220,108,63
94,100,48,220,108,68
95,200,48,220,108,86
96,220,48,220,108,86
97,40,48,220,108,10
98,160,48,220,108,81
99,180,48,220,108,73
100,220,48,220,108,60
101,220,64,220,108,51
102,220,8,220,108,16
103,220,56,220,108,74
104,220,32,220,108,59
105,220,40,220,108,75
106,220,16,220,108,21
107,220,24,220,108,47
108,220,72,220,108,74
109,220,80,220,108,79
110,220,80,220,108,74
111,220,72,220,108,76
112,220,8,220,108,11
113,220,64,220,108,16
114,220,32,220,108,42
115,220,48,220,108,50
116,220,24,220,108,56
117,220,56,220,108,67
118,220,16,220,108,40
119,220,40,220,108,61
120,220,72,220,108,88
121,220,64,220,108,71
122,220,40,220,108,64
123,220,80,220,108,99
124,220,32,220,108,77
125,220,16,220,108,38
126,220,48,220,108,70
127,220,24,220,108,53
128,220,56,220,108,86
129,220,8,220,108,12
130,220,16,220,108,16
131,220,72,220,108,77
132,220,40,220,108,71
133,220,24,220,108,59
134,220,80,220,108,90
135,220,56,220,108,95
136,220,8,220,108,6
137,220,32,220,108,34
138,220,48,220,108,67
139,220,64,220,108,68
140,220,72,220,108,56
141,220,64,220,108,59
142,220,8,220,108,14
143,220,32,220,108,29
144,220,56,220,108,81
145,220,16,220,108,8
146,220,24,220,108,16
147,220,48,220,108,87
148,220,40,220,108,85
149,220,80,220,108,81
150,220,40,220,108,75
151,220,56,220,108,97
152,220,48,220,108,98
153,220,16,220,108,5
154,220,80,220,108,69
155,220,32,220,108,72
156,220,72,220,108,66
157,220,64,220,108,72
158,220,24,220,108,65
159,220,8,220,108,7
160,220,56,220,108,49
161,220,80,220,108,26
162,220,24,220,108,18
163,220,64,220,108,31
164,220,16,220,108,6
165,220,32,220,108,60
166,220,72,220,108,67
167,220,40,220,108,77
168,220,8,220,108,9
169,220,48,220,108,94
170,220,56,220,108,92
171,220,40,220,108,94
172,220,48,220,108,99
173,220,32,220,108,83
174,220,8,220,108,5
175,220,72,220,108,49
176,220,80,220,108,54
177,220,24,220,108,14
178,220,16,220,108,7
179,220,64,220,108,42
180,220,56,220,108,58
181,220,16,220,108,4
182,220,64,220,108,19
183,220,32,220,108,60
184,220,72,220,108,68
185,220,48,220,108,75
186,220,24,220,108,16
187,220,8,220,108,8
188,220,40,220,108,46
189,220,80,220,108,52
190,220,32,220,108,65
191,220,8,220,108,5
192,220,40,220,108,44
193,220,16,220,108,6
194,220,48,220,108,58
195,220,64,220,108,48
196,220,56,220,108,60
197,220,24,220,108,36
198,220,72,220,108,58
199,220,80,220,108,60
200,220,56,280,108,78
201,220,56,310,108,82
202,220,56,370,108,78
203,220,56,340,108,53
204,220,56,250,108,63
205,220,56,220,108,84
206,220,56,280,108,87
207,220,56,220,108,73
208,220,56,310,108,79
209,220,56,250,108,85
210,220,56,370,108,91
211,220,56,340,108,29
212,220,56,280,108,85
213,220,56,250,108,90
214,220,56,310,108,98
215,220,56,220,108,16
216,220,56,370,108,87
217,220,56,340,108,55
218,220,56,340,108,44
219,220,56,370,108,75
220,220,56,280,108,68
221,220,56,250,108,58
222,220,56,220,108,72
223,220,56,310,108,84
224,220,56,220,108,77
225,220,56,280,108,59
226,220,56,370,108,73
227,220,56,250,108,60
228,220,56,340,108,86
229,220,56,310,108,63
230,220,56,340,108,71
231,220,56,280,108,62
232,220,56,250,108,78
233,220,56,220,108,86
234,220,56,370,108,91
235,220,56,310,108,46
236,220,56,310,108,37
237,220,56,370,108,52
238,220,56,280,108,43
239,220,56,250,108,59
240,220,56,220,108,70
241,220,56,340,108,79
242,220,56,340,108,25
243,220,56,220,108,66
244,220,56,310,108,85
245,220,56,280,108,73
246,220,56,250,108,81
247,220,56,370,108,90
248,220,56,370,108,22
249,220,56,310,108,12
250,220,56,280,108,25
251,220,56,220,108,33
252,220,56,250,108,42
253,220,56,340,108,50
254,220,56,340,108,40
255,220,56,250,108,33
256,220,56,310,108,68
257,220,56,220,108,49
258,220,56,280,108,75
259,220,56,370,108,68
260,220,56,370,108,54
261,220,56,370,54,46
262,220,56,370,18,3
263,220,56,370,126,16
264,220,56,370,72,34
265,220,56,370,162,12
266,220,56,370,36,9
267,220,56,370,90,39
268,220,56,370,144,30
269,220,56,370,180,26
270,220,56,370,162,27
271,220,56,370,108,47
272,220,56,370,18,5
273,220,56,370,180,52
274,220,56,370,90,65
275,220,56,370,72,74
276,220,56,370,36,7
277,220,56,370,126,44
278,220,56,370,144,38
279,220,56,370,54,53
280,220,56,370,162,46
281,220,56,370,54,58
282,220,56,370,108,49
283,220,56,370,36,10
284,220,56,370,90,66
285,220,56,370,18,8
286,220,56,370,72,58
287,220,56,370,126,50
288,220,56,370,180,60
289,220,56,370,144,50
290,220,56,370,54,79
291,220,56,370,180,69
292,220,56,370,72,87
293,220,56,370,126,56
294,220,56,370,18,9
295,220,56,370,144,31
296,220,56,370,108,46
297,220,56,370,162,37
298,220,56,370,36,9
299,220,56,370,90,71
300,220,56,370,90,64
301,220,56,370,36,19
302,220,56,370,126,67
303,220,56,370,144,30
304,220,56,370,180,35
305,220,56,370,108,49
306,220,56,370,72,63
307,220,56,370,54,62
308,220,56,370,18,13
309,220,56,370,162,26
310,220,56,370,36,28
311,220,56,370,54,88
312,220,56,370,180,57
313,220,56,370,108,65
314,220,56,370,126,59
315,220,56,370,90,82
316,220,56,370,72,90
317,220,56,370,162,69
318,220,56,370,18,5
319,220,56,370,144,23
320,220,56,370,36,72
321,220,56,370,126,63
322,220,56,370,18,8
323,220,56,370,162,64
324,220,56,370,144,74
325,220,56,370,54,83
326,220,56,370,90,74
327,220,56,370,72,85
328,220,56,370,108,76
329,220,56,370,180,29
330,220,56,370,36,25
331,220,56,370,180,32
332,220,56,370,18,5
333,220,56,370,162,32
334,220,56,370,126,47
335,220,56,370,72,60
336,220,56,370,144,53
