trial,line_length,stim_radius,stim_period,rating
0,120,300,100,20
1,60,300,100,15
2,30,200,150,3
3,120,150,100,48
4,120,250,50,32
5,60,350,200,15
6,60,200,25,0
7,120,300,200,5
8,90,200,50,11
9,90,250,100,22
10,30,250,200,1
11,120,200,100,24
12,150,350,200,11
13,150,150,200,79
14,150,250,200,58
15,60,250,100,48
16,60,300,200,30
17,90,300,50,45
18,90,350,25,10
19,30,350,25,1
20,90,300,200,2
21,30,300,100,8
22,60,250,25,14
23,30,150,50,74
24,30,350,150,52
25,30,300,50,43
26,120,350,50,54
27,60,300,50,54
28,90,150,150,49
29,60,200,200,56
30,90,350,50,49
31,150,250,50,59
32,120,350,25,56
33,60,200,100,51
34,90,150,100,81
35,30,250,25,14
36,90,350,100,18
37,90,200,150,18
38,90,200,25,41
39,120,300,50,2
40,30,200,200,32
41,30,350,50,19
42,90,200,200,50
43,150,300,150,43
44,150,250,100,53
45,90,150,200,31
46,150,350,50,30
47,30,150,200,17
48,150,350,100,21
49,60,150,50,74
50,120,200,25,49
51,30,150,25,37
52,60,150,150,46
53,120,150,50,23
54,120,300,150,29
55,150,300,25,31
56,120,200,150,24
57,90,300,150,22
58,120,300,25,47
59,60,250,200,19
60,60,350,25,18
61,150,150,100,30
62,150,150,25,29
63,150,300,100,22
64,150,200,25,36
65,120,350,150,17
66,30,150,150,21
67,60,200,50,30
68,30,200,25,21
69,30,300,200,19
70,60,150,100,34
71,120,150,25,27
72,60,350,50,32
73,150,200,150,47
74,30,300,150,24
75,30,300,25,12
76,60,300,150,24
77,150,250,150,32
78,90,250,150,19
79,60,350,100,6
80,60,300,25,19
81,120,350,100,14
82,120,350,200,18
83,150,200,50,21
84,90,350,200,27
85,90,250,50,26
86,90,250,200,35
87,150,150,150,80
88,120,200,200,69
89,150,200,200,71
90,120,250,25,60
91,150,200,100,49
92,120,150,150,49
93,120,250,150,28
94,90,350,150,31
95,90,250,25,32
96,30,250,100,54
97,120,250,200,29
98,90,200,100,33
99,60,250,50,32
100,90,150,25,55
101,60,200,150,33
102,90,150,50,30
103,90,300,25,56
104,90,300,100,40
105,150,250,25,49
106,150,300,200,52
107,30,350,200,41
108,60,150,200,61
109,150,300,50,32
110,30,150,100,28
111,150,150,50,34
112,60,150,25,41
113,30,200,100,32
114,150,350,150,28
115,30,350,100,40
116,30,250,50,16
117,120,200,50,20
118,60,250,150,27
119,150,350,25,26
120,60,350,150,19
121,30,250,150,18
122,120,150,200,68
123,30,200,50,52
124,120,250,100,72
125,30,300,25,11
126,30,300,50,24
127,150,250,100,57
128,120,300,25,35
129,30,200,200,35
130,60,250,25,51
131,30,350,200,30
132,90,350,150,33
133,90,200,200,47
134,120,300,50,55
135,150,250,25,23
136,30,250,200,38
137,120,200,150,46
138,90,250,100,24
139,150,200,100,41
140,30,150,50,0
141,150,350,50,56
142,60,300,50,35
143,150,200,200,38
144,60,200,25,62
145,120,250,25,27
146,150,300,150,41
147,30,150,25,22
148,120,200,50,25
149,60,150,150,34
150,120,200,200,18
151,120,350,25,12
152,120,350,150,27
153,30,250,25,23
154,60,350,50,22
155,90,200,25,25
156,30,200,100,26
157,120,150,100,72
158,60,150,50,67
159,120,150,200,69
160,150,200,150,71
161,150,250,150,61
162,60,350,25,30
163,60,250,200,47
164,90,300,200,16
165,60,150,200,28
166,60,300,25,28
167,30,300,150,30
168,30,150,200,25
169,90,250,25,39
170,30,200,25,33
171,150,150,150,30
172,60,150,25,32
173,150,250,50,37
174,60,250,100,29
175,60,300,150,41
176,90,150,150,50
177,150,350,25,45
178,60,250,150,41
179,120,150,25,45
180,60,200,200,43
181,60,150,100,37
182,150,350,200,62
183,150,350,150,53
184,120,200,25,48
185,150,200,50,29
186,30,300,100,24
187,30,150,100,32
188,90,300,50,37
189,150,350,100,38
190,150,300,50,75
191,150,250,200,28
192,120,300,100,42
193,120,250,100,29
194,30,350,25,2
195,60,200,50,28
196,60,250,50,26
197,120,350,200,32
198,150,150,50,37
199,120,250,150,32
200,120,350,50,32
201,120,200,100,35
202,60,200,150,32
203,60,350,150,33
204,120,150,50,40
205,150,150,25,40
206,30,150,150,20
207,90,150,25,26
208,150,150,200,40
209,90,350,100,32
210,150,150,100,29
211,90,200,100,46
212,90,150,100,50
213,90,200,50,39
214,60,300,100,33
215,90,150,50,57
216,90,300,150,51
